"Age_Group","Gender","Preferred_Media","Hours_Per_Week","Satisfaction","Meets_Expectations","Emotional_Engagement","Value_For_Time","Re_Watched","Revisit_Times","Prefer_Familiar_Content","Usual_Content_Type","Satisfaction_Score","Repeat_Viewer"
"Middle-Aged Adult (45-59 years)","Male","YouTube","Less than 2 hours",2,3,3,3,"No","Once",4,"Not Specified",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",3,4,3,4,"Yes","Once",4,"Not Specified",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","6-10 hours",3,4,3,4,"Yes","2-3 times",3,"Not Specified",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,3,2,4,"No","Never",3,"Not Specified",3,"No"
"Middle-Aged Adult (45-59 years)","Female","YouTube","6-10 hours",4,3,3,4,"No","Never",3,"Not Specified",3.5,"No"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",4,4,3,4,"Yes","Never",3,"Not Specified",3.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Radio","6-10 hours",3,2,3,3,"No","Never",4,"Not Specified",2.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","2-5 hours",3,4,3,4,"Yes","2-3 times",3,"Movies",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Radio","Less than 2 hours",4,4,3,3,"No","Never",3,"Songs",3.5,"No"
"Senior (60 years and above)","Male","Television","Less than 2 hours",2,4,3,2,"Yes","Once",2,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,4,4,3,"No","Never",3,"Not Specified",3.5,"No"
"Senior (60 years and above)","Female","YouTube","Less than 2 hours",4,3,3,3,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Female","YouTube","Less than 2 hours",4,3,3,3,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television","Less than 2 hours",2,2,3,2,"Yes","More than 3 times",3,"Not Specified",2.25,"Yes"
"Senior (60 years and above)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Female","YouTube","2-5 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Female","YouTube","2-5 hours",3,3,3,3,"Yes","2-3 times",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Radio","Less than 2 hours",3,2,4,4,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television","Less than 2 hours",3,3,2,3,"Yes","2-3 times",3,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Male","Television","6-10 hours",3,3,3,3,"Yes","More than 3 times",3,"Not Specified",3,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","2-5 hours",3,4,4,4,"Yes","Once",4,"Automobile",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",2,2,1,2,"No","Never",2,"Comedy movies",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Radio","6-10 hours",3,4,4,4,"Yes","2-3 times",3,"Old generation songs",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",2,1,2,1,"No","Never",2,"Gossip",1.5,"No"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",4,4,3,2,"Yes","2-3 times",4,"Not Specified",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Podcasts","2-5 hours",3,3,3,4,"Yes","2-3 times",4,"Not Specified",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","6-10 hours",3,3,3,2,"Yes","Once",3,"Yoga",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",3,2,3,3,"No","Never",4,"Not Specified",2.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,4,2,"Yes","More than 3 times",3,"Not Specified",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",1,1,1,1,"No","Never",1,"Not Specified",1,"No"
"Teen (13-19 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,3,2,4,"Yes","2-3 times",4,"Films",3.25,"Yes"
"Teen (13-19 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,4,3,"Yes","Once",3,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,5,2,4,"No","Never",1,"Not Specified",3.75,"No"
"Teen (13-19 years)","Male","Television, YouTube","2-5 hours",5,5,4,5,"Yes","2-3 times",2,"Not Specified",4.75,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",4,4,4,4,"Yes","Once",3,"Not Specified",4,"Yes"
"Teen (13-19 years)","Male","Television","2-5 hours",4,5,5,4,"No","Never",2,"Not Specified",4.5,"No"
"Teen (13-19 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.)","Less than 2 hours",4,5,3,4,"Yes","2-3 times",3,"Not Specified",4,"Yes"
"Teen (13-19 years)","Female","Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,4,5,"Yes","2-3 times",4,"Not Specified",4.75,"Yes"
"Teen (13-19 years)","Male","Television, Radio","Less than 2 hours",4,4,4,4,"No","Never",4,"Not Specified",4,"No"
"Middle-Aged Adult (45-59 years)","Male","Television","Less than 2 hours",3,3,4,4,"Yes","Once",3,"News",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",1,2,2,2,"No","Never",4,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",3,2,4,3,"Yes","2-3 times",3,"Not Specified",3,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",2,1,2,2,"No","Never",4,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",3,2,3,3,"Yes","Once",3,"Vehicles",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","2-5 hours",3,3,3,4,"Yes","Once",3,"Planting",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Radio","Less than 2 hours",3,3,3,3,"Yes","Once",4,"Not Specified",3,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Radio","6-10 hours",2,2,2,2,"No","Never",4,"Songs",2,"No"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",2,1,1,2,"No","Never",4,"Not Specified",1.5,"No"
"Middle-Aged Adult (45-59 years)","Female","Television, YouTube","2-5 hours",3,2,3,3,"No","Never",4,"Tele drama",2.75,"No"
"Adult (30-44 years)","Female","Television, YouTube, Radio","2-5 hours",5,5,5,3,"Yes","2-3 times",3,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,5,5,"Yes","2-3 times",5,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,5,5,5,"Yes","2-3 times",5,"Not Specified",4.75,"Yes"
"Adult (30-44 years)","Female","Radio","6-10 hours",5,5,5,5,"Yes","2-3 times",5,"sinhala songs",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","More than 3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,4,4,"Yes","More than 3 times",5,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,4,"Yes","More than 3 times",5,"Not Specified",4.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","More than 3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,4,4,"Yes","More than 3 times",5,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Male","Television","Less than 2 hours",3,4,4,2,"Yes","Once",2,"Not Specified",3.25,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Radio","6-10 hours",4,4,4,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","YouTube","2-5 hours",3,4,4,3,"No","2-3 times",2,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube","More than 10 hours",5,5,5,5,"Yes","More than 3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,4,4,4,"Yes","Once",2,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Radio","More than 10 hours",4,4,4,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television","2-5 hours",5,5,4,4,"No","Once",1,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,2,3,"Yes","More than 3 times",3,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","YouTube, Podcasts","6-10 hours",5,5,3,5,"No","Once",3,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Male","YouTube","6-10 hours",4,3,4,4,"Yes","2-3 times",2,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Male","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,4,"Yes","2-3 times",3,"Not Specified",4.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Podcasts","More than 10 hours",5,5,4,4,"Yes","More than 3 times",4,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Female","Podcasts","6-10 hours",5,4,2,3,"Yes","More than 3 times",5,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","More than 3 times",3,"music",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Radio","6-10 hours",4,2,3,5,"Yes","More than 3 times",2,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","More than 10 hours",5,5,5,5,"Yes","More than 3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,1,5,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio","6-10 hours",5,5,5,5,"Yes","2-3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television","6-10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,3,5,"Yes","Once",3,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube","More than 10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio","6-10 hours",4,4,4,4,"Yes","2-3 times",1,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,5,"Yes","More than 3 times",4,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Female","Television, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,5,"Yes","2-3 times",1,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube","More than 10 hours",5,4,4,3,"Yes","2-3 times",3,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","YouTube, Radio","6-10 hours",5,5,5,5,"Yes","More than 3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","YouTube","More than 10 hours",3,4,4,4,"Yes","More than 3 times",5,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube","6-10 hours",5,4,3,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",3,5,5,5,"Yes","2-3 times",4,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",1,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,4,"Yes","2-3 times",4,"Not Specified",4.75,"Yes"
"Adult (30-44 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,4,4,"Yes","More than 3 times",5,"Not Specified",4.5,"Yes"
"Adult (30-44 years)","Male","Television","More than 10 hours",3,3,3,3,"Yes","2-3 times",4,"Not Specified",3,"Yes"
"Adult (30-44 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television","6-10 hours",3,3,3,3,"Yes","More than 3 times",3,"Not Specified",3,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,3,"Yes","More than 3 times",5,"Not Specified",4.5,"Yes"
"Senior (60 years and above)","Male","Television, YouTube","2-5 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Radio","Less than 2 hours",2,3,3,3,"Yes","Once",3,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,3,2,"Yes","Once",3,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","2-5 hours",3,3,3,2,"No","Never",3,"Not Specified",2.75,"No"
"Senior (60 years and above)","Male","Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,3,2,4,"No","Never",3,"Not Specified",3,"No"
"Senior (60 years and above)","Male","YouTube","Less than 2 hours",3,4,3,3,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Female","YouTube","Less than 2 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,2,5,"Yes","2-3 times",4,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,4,4,"Yes","2-3 times",3,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","Less than 2 hours",2,1,2,2,"No","Never",4,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",2,1,2,2,"No","Never",4,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.)","Less than 2 hours",2,3,2,3,"No","Once",4,"Not Specified",2.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",4,3,4,4,"Yes","2-3 times",3,"Old songs",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Podcasts","Less than 2 hours",2,2,1,2,"No","Never",4,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",1,2,2,2,"No","Never",4,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Television","More than 10 hours",3,3,4,4,"Yes","2-3 times",3,"Comedy movies",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","Less than 2 hours",2,2,1,3,"No","Never",4,"Not Specified",2,"No"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",2,1,1,3,"No","Never",3,"Funny videos",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Podcasts","Less than 2 hours",1,2,2,3,"No","Never",3,"Not Specified",2,"No"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",2,3,2,2,"No","Never",4,"Not Specified",2.25,"No"
"Middle-Aged Adult (45-59 years)","Female","Radio","2-5 hours",3,4,3,3,"Yes","Once",3,"Not Specified",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","6-10 hours",4,4,3,4,"Yes","2-3 times",3,"Fashion",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","More than 10 hours",3,4,4,4,"Yes","More than 3 times",2,"Talent show",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,4,4,"Yes","2-3 times",3,"Not Specified",4.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","Less than 2 hours",2,1,2,2,"No","Never",3,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Television","6-10 hours",4,3,5,4,"Yes","2-3 times",4,"Indian teledrama",4,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","Less than 2 hours",2,3,1,1,"No","Never",3,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Radio","Less than 2 hours",2,3,2,2,"No","Never",3,"Not Specified",2.25,"No"
"Middle-Aged Adult (45-59 years)","Female","YouTube","More than 10 hours",4,5,5,5,"Yes","More than 3 times",1,"Cooking vlogs",4.75,"Yes"
"Adult (30-44 years)","Female","YouTube","2-5 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",1,2,2,3,"No","Never",3,"Not Specified",2,"No"
"Middle-Aged Adult (45-59 years)","Female","Radio","2-5 hours",4,4,3,3,"Yes","Once",3,"Songs",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","Less than 2 hours",3,3,2,2,"No","Never",3,"Talk show",2.5,"No"
"Middle-Aged Adult (45-59 years)","Female","Podcasts","Less than 2 hours",2,3,3,3,"No","Never",4,"Not Specified",2.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",4,4,3,3,"Yes","Once",3,"Movies",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Podcasts","Less than 2 hours",2,3,2,2,"No","Never",4,"Not Specified",2.25,"No"
"Middle-Aged Adult (45-59 years)","Female","Radio","2-5 hours",4,4,3,4,"Yes","Once",3,"Not Specified",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","Less than 2 hours",3,2,2,3,"No","Never",4,"Gardening",2.5,"No"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",4,4,3,5,"Yes","2-3 times",4,"Medical treatments",4,"Yes"
"Adult (30-44 years)","Male","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,3,3,3,"Yes","2-3 times",3,"Not Specified",3,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",3,4,3,5,"Yes","2-3 times",3,"Yoga",3.75,"Yes"
"Adult (30-44 years)","Male","YouTube","Less than 2 hours",4,2,4,1,"Yes","2-3 times",3,"Not Specified",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",4,3,3,5,"Yes","2-3 times",3,"yoga",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Podcasts","Less than 2 hours",2,2,1,1,"No","Never",3,"Not Specified",1.5,"No"
"Middle-Aged Adult (45-59 years)","Male","YouTube","Less than 2 hours",1,2,3,3,"No","Never",3,"Cricket",2.25,"No"
"Middle-Aged Adult (45-59 years)","Male","YouTube","6-10 hours",4,3,3,3,"Yes","Once",3,"Football matches",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","2-5 hours",3,3,3,4,"Yes","Once",3,"Medical treatments",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","Less than 2 hours",2,3,2,3,"No","Never",4,"Not Specified",2.5,"No"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",2,3,3,3,"Yes","Once",4,"Not Specified",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",4,4,3,3,"Yes","Once",3,"Sci-fi movies",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Podcasts","Less than 2 hours",1,2,1,3,"No","Never",5,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,3,3,3,"Yes","2-3 times",3,"Live cricket matches",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","Less than 2 hours",2,1,1,2,"No","Never",5,"Not Specified",1.5,"No"
"Middle-Aged Adult (45-59 years)","Male","Television","More than 10 hours",4,4,3,5,"Yes","More than 3 times",3,"Yoga",4,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","2-5 hours",2,2,2,2,"No","Never",5,"Pet shows",2,"No"
"Middle-Aged Adult (45-59 years)","Male","Television","Less than 2 hours",2,2,1,3,"No","Never",5,"Politics new",2,"No"
"Middle-Aged Adult (45-59 years)","Male","Radio","2-5 hours",3,4,3,4,"Yes","Never",3,"Not Specified",3.5,"No"
"Adult (30-44 years)","Female","Television, YouTube","6-10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,3,3,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","6-10 hours",4,4,2,4,"Yes","2-3 times",3,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,4,3,"No","Never",1,"Not Specified",4,"No"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,3,4,"No","Once",4,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","More than 10 hours",4,4,4,3,"Yes","More than 3 times",5,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,1,4,"Yes","More than 3 times",3,"Not Specified",3.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,5,4,"Yes","More than 3 times",4,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","2-3 times",3,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","6-10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube","More than 10 hours",4,4,3,3,"No","Once",1,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Male","YouTube","6-10 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Teen (13-19 years)","Female","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Radio","2-5 hours",4,4,5,4,"Yes","Once",3,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Podcasts","6-10 hours",5,5,5,5,"Yes","2-3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","More than 10 hours",4,4,4,4,"Yes","2-3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","6-10 hours",4,4,4,3,"Yes","More than 3 times",1,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,4,3,"Yes","2-3 times",2,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",2,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","2-3 times",2,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",1,"Not Specified",4,"Yes"
